,date,market_capitalisation,sent_usd,transactions,avg_transaction_value,median_transaction_value,avg_transaction_fee,median_transacation_fee,block_time,block_size,fee,difficulty,hashrate,mining_profitability,active_adresses,top_addresses,tweets,google_trends,price,CHFUSD=X,CL=F,CNY=X,EURUSD=X,GBPUSD=X,GC=F,JPY=X,^DJI,^FTSE,^GSPC,^IXIC
4098,2009-03-19,,,null,,,,,11.803,134.787,,1,5959575,,122,6.6,,,,,,,,,,,,,,
4099,2009-03-20,,,1,,,,,12.203,146.856,,1,6034212,,131,6.652,,,,,,,,,,,,,,
4100,2009-03-21,,,null,,,,,28.8,134.88,,1,5293010,,50,6.611,,,,,,,,,,,,,,
4101,2009-03-22,,,2,,,,,12.101,146.126,,1,3769984,,131,6.649,,,,,,,,,,,,,,
4102,2009-03-23,,,null,,,,,11.077,134.923,,1,6360511,,130,6.547,,,,,,,,,,,,,,
4103,2009-03-24,,,null,,,,,13.714,134.981,,1,5685246,,105,6.467,,,,,,,,,,,,,,
4104,2009-03-25,,,null,,,,,12.308,134.786,,1,5682962,,117,6.38,,,,,,,,,,,,,,
4105,2009-03-26,,,1,,,,,12.308,162.607,,1,5763023,,146,6.613,,,,,,,,,,,,,,
4106,2009-03-27,,,null,,,,,13.585,134.953,,1,5567742,,106,6.534,,,,,,,,,,,,,,
4107,2009-03-28,,,3,,,,,12.101,155.235,,1,5605066,,140,6.669,,,,,,,,,,,,,,
4108,2009-03-29,,,null,,,,,12.414,134.966,,1,5563060,,116,6.585,,,,,,,,,,,,,,
4109,2009-03-30,,,null,,,,,12,134.85,,1,6174270,,120,6.5,,,,,,,,,,,,,,
4110,2009-03-31,,,1,,,,,13.091,168.518,,1,5736621,,143,6.764,,,,,,,,,,,,,,
4111,2009-04-01,,,null,,,,,12.632,134.86,,1,5430648,,114,6.683,,,,,,,,,,,,,,
4112,2009-04-02,,,null,,,,,12.522,134.887,,1,5955989,,115,6.603,,,,,,,,,,,,,,
4113,2009-04-03,,,null,,,,,12.414,134.948,,1,5594588,,116,6.525,,,,,,,,,,,,,,
4114,2009-04-04,,,null,,,,,12.743,134.743,,1,5601954,,113,6.45,,,,,,,,,,,,,,
4115,2009-04-05,,,2,,,,,11.077,150.554,,1,6248209,,148,6.536,,,,,,,,,,,,,,
4116,2009-04-06,,,null,,,,,13.211,134.982,,1,6073474,,109,6.465,,,,,,,,,,,,,,
4117,2009-04-07,,,null,,,,,14.4,134.99,,1,5094113,,100,6.402,,,,,,,,,,,,,,
4118,2009-04-08,,,null,,,,,13.714,135,,1,5105377,,105,6.337,,,,,,,,,,,,,,
4119,2009-04-09,,,null,,,,,14.545,134.737,,1,4926977,,99,6.276,,,,,,,,,,,,,,
4120,2009-04-10,,,null,,,,,13.333,134.944,,1,5064620,,108,6.212,,,,,,,,,,,,,,
4121,2009-04-11,,,1,,,,,12,142.333,,1,5914151,,128,6.198,,,,,,,,,,,,,,
4122,2009-04-12,,,2,,,,,12.203,143.712,,1,5859512,,127,6.195,,,,,,,,,,,,,,
4123,2009-04-13,,,1,,,,,12.522,136.965,,1,5825783,,117,6.129,,,,,,,,,,,,,,
4124,2009-04-14,,,null,,,,,11.613,134.952,,1,6041215,,124,6.06,,,,,,,,,,,,,,
4125,2009-04-15,,,null,,,,,12.743,134.743,,1,5699780,,113,5.998,,,,,,,,,,,,,,
4126,2009-04-16,,,null,,,,,11.707,134.894,,1,6045975,,123,5.933,,,,,,,,,,,,,,
4127,2009-04-17,,,null,,,,,12.857,134.857,,1,5826039,,112,5.874,,,,,,,,,,,,,,
4128,2009-04-18,,,4,,,,,11.429,141.04,,1,5872722,,131,5.815,,,,,,,,,,,,,,
4129,2009-04-19,,,1,,,,,12.101,143,,1,6050241,,128,5.824,,,,,,,,,,,,,,
4130,2009-04-20,,,2,,,,,12.101,246.034,,1,5962870,,236,6.74,,,,,,,,,,,,,,
4131,2009-04-21,,,1,,,,,11.707,136.74,,1,5974516,,125,6.67,,,,,,,,,,,,,,
4132,2009-04-22,,,null,,,,,11.901,134.967,,1,6015670,,121,6.603,,,,,,,,,,,,,,
4133,2009-04-23,,,null,,,,,19.2,134.68,,1,4910702,,75,6.561,,,,,,,,,,,,,,
4134,2009-04-24,,,null,,,,,12.522,134.904,,1,4815481,,115,6.499,,,,,,,,,,,,,,
4135,2009-04-25,,,null,,,,,12.203,134.864,,1,5862788,,118,6.436,,,,,,,,,,,,,,
4136,2009-04-26,,,2,,,,,12.857,151.054,,1,5785290,,128,6.5,,,,,,,,,,,,,,
4137,2009-04-27,,,null,,,,,13.846,134.894,,1,5197535,,104,6.445,,,,,,,,,,,,,,
4138,2009-04-28,,,null,,,,,12.308,134.632,,1,5639535,,117,6.385,,,,,,,,,,,,,,
4139,2009-04-29,,,1,,,,,11.25,153.094,,1,5983533,,149,6.478,,,,,,,,,,,,,,
4140,2009-04-30,,,null,,,,,10.992,134.954,,1,6626342,,131,6.412,,,,,,,,,,,,,,
4141,2009-05-01,,,null,,,,,11.901,134.876,,1,6087167,,121,6.352,,,,,,,,,,,,,,
4142,2009-05-02,,,2,,,,,11.429,150.373,,1,6370022,,142,6.39,,,,,,,,,,,,,,
4143,2009-05-03,,,3,,,,,13.585,142.726,,1,5432058,,110,6.339,,,,,,,,,,,,,,
4144,2009-05-04,,,1,,,,,11.25,161.93,,1,6028806,,159,6.503,,,,,,,,,,,,,,
4145,2009-05-05,,,1,,,,,10.667,143.667,,1,6654245,,146,6.512,,,,,,,,,,,,,,
4146,2009-05-06,,,null,,,,,10.667,134.978,,1,6617035,,135,6.448,,,,,,,,,,,,,,
4147,2009-05-07,,,null,,,,,11.803,135,,1,6311697,,122,6.39,,,,,,,,,,,,,,
4148,2009-05-08,,,null,,,,,13.458,134.944,,1,6101575,,107,6.341,,,,,,,,,,,,,,
4149,2009-05-09,,,null,,,,,18.462,134.487,,1,5123304,,78,6.305,,,,,,,,,,,,,,
4150,2009-05-10,,,null,,,,,16.941,134.753,,1,3007562,,85,6.267,,,,,,,,,,,,,,
4151,2009-05-11,,,1,,,,,12,137.858,,1,5686382,,123,6.213,,,,,,,,,,,,,,
4152,2009-05-12,,,null,,,,,11.077,134.923,,1,6285390,,130,6.157,,,,,,,,,,,,,,
4153,2009-05-13,,,5,,,,,12.973,144.775,,1,6180537,,117,6.109,,,,,,,,,,,,,,
4154,2009-05-14,,,3,,,,,10.36,140.086,,1,6001457,,145,6.064,,,,,,,,,,,,,,
4155,2009-05-15,,,1,,,,,10.588,143.603,,1,7216902,,146,6.076,,,,,,,,,,,,,,
4156,2009-05-16,,,null,,,,,12.101,134.95,,1,6322797,,119,6.027,,,,,,,,,,,,,,
4157,2009-05-17,,,null,,,,,11.339,134.961,,1,5868562,,127,5.976,,,,,,,,,,,,,,
